geoid,mhi,mf_zoned_pct,zoned_acres
48113013005,137633,0.06,702.4
48113013007,99509,4.38,555.3
48113013008,127354,3.58,634.6
48113013009,96042,11.43,615.1
48113013010,44198,21.21,460.6
48113013011,54286,29.71,345.3
48113013012,170208,2.44,483.0
48113013013,183036,0.01,969.8
48113013101,247722,2.84,921.3
48113013102,176354,0.0,486.2
48113013104,143333,14.02,189.7
48113013106,57143,23.02,150.9
48113013107,53446,67.2,170.6
48113013201,172878,0.0,975.1
48113013202,90851,1.52,1041.8
48113013300,250001,0.0,875.0
48113013400,250001,0.0,787.4
48113013500,250001,0.0,1046.2
48113013605,168194,0.0,988.3
48113013606,89412,11.49,822.4
48113013607,148611,1.5,740.8
48113013608,143854,4.35,1582.3
48113013609,94680,9.39,628.2
48113013610,91763,3.33,982.7
48113013611,141789,5.33,1412.3
48113013615,63071,13.83,421.0
48113013617,166230,4.76,640.8
48113013618,93194,8.41,499.9
48113013619,141389,1.93,1050.6
48113013620,85966,18.59,612.0
48113013621,67153,36.24,322.5
48113013624,67094,21.93,170.6
48113013625,68112,0.49,115.5
48113013626,80633,0.0,247.0
48113013629,54141,99.23,93.2
48113013630,68002,90.55,102.9
48113013631,52629,98.64,50.2
48113014157,98801,0.0,2372.7
48113015900,52178,0.64,2993.6
48113016511,76555,0.0,388.5
48113016521,54004,3.28,7085.5
48113016526,54191,1.2,502.7
48113016527,139636,0.0,3141.3
48113016528,93407,0.01,1713.3
48113016533,98209,5.06,4543.8
48113016534,61037,7.62,1559.4
48113016607,27037,13.82,394.7
48113016635,28367,20.79,707.3
48113016709,47011,0.0,5451.2
48113016710,64956,0.0,985.4
48113016711,59747,10.96,1067.6
48113017009,49538,0.0,844.3
48113017010,74960,0.91,1375.5
48113017101,53631,0.88,2980.3
48113017102,52429,1.03,7999.6
48113017605,70043,0.0,366.2
48113018137,76413,0.0,696.3
48113018141,43650,0.0,1576.2
48113018142,103797,0.0,2019.4
48113018505,38636,58.39,167.5
48113018506,45528,0.01,1780.6
48113018507,41080,77.05,161.5
48113018508,41211,73.88,80.2
48113019016,79133,7.18,404.1
48113019018,78750,21.47,518.3
48113019019,45560,17.84,603.5
48113019034,49231,15.6,631.7
48113019035,38125,27.56,371.8
48113019208,56209,17.11,438.5
48113019212,50077,65.07,98.6
48113019213,25042,24.0,227.3
48113020200,39091,1.14,8795.3
48113020300,47404,2.09,1303.2
48113020401,72551,0.0,491.5
48113020402,82389,0.0,1886.2
48113020500,34841,1.24,1953.6
48113020600,250001,0.0,1870.6
48113020800,44172,0.07,1272.6
48113020900,36370,0.0,1865.0
48113021000,27359,3.13,1533.9
48113021100,37717,3.78,3881.2
48121021616,64098,31.92,337.4
48121021634,50348,54.82,322.4
48121021635,64458,38.18,345.0
48121021637,60636,23.47,465.3
48121021638,63056,28.91,298.5
48121021641,51847,47.02,169.0
48121021642,59441,50.46,214.4
